Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week
S1203,Emma,Smith,emma203@university.com,Female,19,Engineering,56.69,65.11,87.42,79.11,80.86,51.38,80.95,74.0,C,13.09
S1204,Omar,Brown,omar204@university.com,Male,19,Engineering,62.06,98.55,88.09,97.98,69.27,46.58,77.4,82.74,B,16.36
S1205,Sara,Smith,sara205@university.com,Female,21,Engineering,63.3,48.95,47.63,93.23,54.61,79.1,90.53,63.65,D,20.35
S1206,Noah,Johnson,noah206@university.com,Male,22,CS,72.97,87.1,93.53,97.77,87.21,58.92,84.41,86.52,B,15.94
S1207,Omar,Johnson,omar207@university.com,Female,22,Engineering,63.97,95.82,55.18,89.06,89.51,69.73,69.32,75.28,C,16.25
S1208,Olivia,Johnson,olivia208@university.com,Male,18,Mathematics,80.7,44.0,71.1,57.51,84.25,70.73,84.01,67.67,D,6.04
S1209,Noah,Brown,noah209@university.com,Male,18,CS,87.31,79.54,88.13,55.27,42.13,70.51,69.38,74.0,C,16.55
S1210,John,Williams,john210@university.com,Male,21,Engineering,67.49,86.48,79.68,59.26,50.45,45.9,83.02,71.87,C,24.11
S1211,Sara,Smith,sara211@university.com,Male,19,CS,51.05,44.93,98.07,64.77,86.15,77.48,69.1,70.28,C,10.14
S1212,John,Johnson,john212@university.com,Male,18,CS,62.77,55.64,44.16,97.99,68.7,93.75,66.11,64.45,D,8.13
S1213,Maria,Garcia,maria213@university.com,Female,20,Engineering,99.0,76.11,74.95,87.4,88.71,79.39,56.4,80.4,B,13.46
S1214,Omar,Johnson,omar214@university.com,Male,19,Mathematics,61.23,62.33,65.92,71.97,76.78,96.58,62.03,67.64,D,8.04
S1215,Ahmed,Garcia,ahmed215@university.com,Female,20,CS,94.35,78.75,57.15,90.8,91.68,90.79,95.95,81.11,B,11.31
S1216,Olivia,Garcia,olivia216@university.com,Male,22,Engineering,61.05,98.7,84.89,77.89,50.84,43.23,66.0,75.65,C,23.83
S1217,Ava,Johnson,ava217@university.com,Male,18,Mathematics,96.87,42.59,49.89,56.59,83.56,89.07,60.68,62.89,D,17.65
S1218,Emma,Jones,emma218@university.com,Female,21,Business,86.64,72.53,75.42,75.42,57.85,73.9,84.44,75.6,C,26.83
S1219,Olivia,Garcia,olivia219@university.com,Male,24,CS,93.86,66.03,49.65,77.9,88.71,84.5,94.07,73.89,C,11.95
S1220,Sara,Davis,sara220@university.com,Female,20,Mathematics,70.07,88.0,52.24,77.75,83.98,76.96,59.4,71.02,C,13.88
S1221,Sara,Davis,sara221@university.com,Female,22,CS,76.93,71.45,90.88,92.0,89.96,40.66,87.48,82.13,B,23.97
S1222,Maria,Miller,maria222@university.com,Male,21,Mathematics,66.35,48.93,58.34,93.83,99.78,62.1,72.43,68.72,D,23.05
S1223,Liam,Garcia,liam223@university.com,Female,23,Mathematics,79.65,63.49,64.76,84.78,40.19,77.18,67.77,68.21,D,24.85
S1224,Liam,Garcia,liam224@university.com,Male,21,Mathematics,70.12,92.46,70.61,86.17,46.25,53.53,85.15,75.4,C,6.32
S1225,Ahmed,Williams,ahmed225@university.com,Male,19,CS,79.97,76.13,41.38,66.11,78.19,48.94,84.77,66.22,D,23.65
S1226,Liam,Johnson,liam226@university.com,Female,19,Mathematics,85.38,87.32,71.04,72.01,48.85,59.69,71.7,73.87,C,7.22
S1227,Sara,Miller,sara227@university.com,Male,21,Business,53.13,88.08,86.0,86.68,57.97,50.41,81.88,76.59,C,17.4
S1228,Maria,Johnson,maria228@university.com,Male,24,Engineering,55.92,64.59,90.39,69.19,74.31,75.27,59.22,71.4,C,14.06
S1229,Noah,Smith,noah229@university.com,Female,19,CS,58.26,82.02,75.15,79.32,81.86,95.78,89.13,77.72,C,6.4
S1230,Noah,Brown,noah230@university.com,Male,20,CS,71.48,92.36,90.52,59.31,88.16,67.49,74.15,80.33,B,8.34
S1231,John,Miller,john231@university.com,Female,21,CS,52.49,94.23,94.56,89.01,40.42,43.44,61.26,76.05,C,8.28
S1232,Ava,Davis,ava232@university.com,Female,18,CS,87.57,79.42,97.4,53.45,43.42,56.93,63.09,74.88,C,11.17
S1233,Omar,Davis,omar233@university.com,Female,21,Mathematics,89.36,98.49,62.27,71.44,90.69,56.09,57.82,77.04,C,26.33
S1234,Maria,Brown,maria234@university.com,Female,20,Mathematics,53.13,94.39,48.35,76.62,64.67,60.84,94.99,69.44,D,5.55
S1235,Noah,Smith,noah235@university.com,Female,20,CS,98.17,73.61,96.21,52.61,65.13,55.61,86.54,79.34,C,29.53
S1236,Emma,Brown,emma236@university.com,Female,19,Engineering,57.25,83.51,51.47,66.91,58.52,96.82,98.37,68.72,D,9.58
S1237,Ahmed,Davis,ahmed237@university.com,Male,18,CS,57.56,53.52,55.06,92.53,73.67,71.4,55.74,63.49,D,26.5
S1238,Ahmed,Garcia,ahmed238@university.com,Female,19,CS,77.13,87.5,72.93,80.65,53.57,90.82,71.43,76.44,C,8.52
S1239,Maria,Brown,maria239@university.com,Female,23,Engineering,92.5,80.14,67.74,70.59,79.06,72.73,53.11,74.28,C,17.81
S1240,Maria,Garcia,maria240@university.com,Male,21,CS,67.8,98.68,87.64,74.86,60.39,92.33,77.24,81.43,B,23.96
S1241,Liam,Davis,liam241@university.com,Male,21,Business,75.97,52.29,92.67,93.98,92.23,54.33,72.56,78.31,C,29.62
S1242,John,Miller,john242@university.com,Male,19,Engineering,77.9,73.15,45.65,67.18,56.95,63.44,89.92,65.66,D,14.3
S1243,Emma,Smith,emma243@university.com,Male,24,Engineering,91.11,62.83,86.54,98.22,52.23,71.4,64.36,77.83,C,24.82
S1244,Noah,Johnson,noah244@university.com,Male,21,Engineering,63.82,58.74,78.56,59.79,93.82,71.21,72.38,70.11,C,18.95
S1245,Emma,Smith,emma245@university.com,Female,19,Business,65.84,91.43,94.37,63.85,99.01,48.44,60.1,79.66,C,9.61
S1246,Sara,Garcia,sara246@university.com,Male,22,Engineering,86.63,89.22,58.79,89.93,98.07,91.41,55.88,78.99,C,23.49
S1247,Emma,Johnson,emma247@university.com,Female,24,CS,98.36,65.07,99.05,83.4,78.08,49.96,94.1,84.75,B,15.69
S1248,Noah,Miller,noah248@university.com,Male,24,Mathematics,56.49,81.21,45.58,51.47,89.38,52.59,68.95,62.29,D,29.34
S1249,Ahmed,Davis,ahmed249@university.com,Female,21,Engineering,92.91,89.14,72.45,85.51,58.86,68.27,91.08,81.11,B,16.48
S1250,Ava,Johnson,ava250@university.com,Male,22,CS,62.72,89.16,92.79,76.27,54.66,46.78,54.36,75.12,C,22.98
S1251,Ahmed,Miller,ahmed251@university.com,Female,20,CS,57.1,60.88,67.02,87.44,79.07,77.26,67.62,69.14,D,26.04
S1252,Emma,Williams,emma252@university.com,Male,20,Engineering,92.19,55.24,41.87,86.96,46.38,58.9,50.19,60.99,D,22.04
S1253,Ahmed,Williams,ahmed253@university.com,Male,23,Mathematics,92.79,53.63,90.22,63.96,78.57,81.65,75.63,76.3,C,12.63
S1254,John,Davis,john254@university.com,Male,24,Engineering,53.43,85.79,64.5,87.96,94.22,53.97,90.37,75.65,C,6.48
S1255,Liam,Garcia,liam255@university.com,Female,24,Business,63.01,94.43,80.24,78.02,46.66,66.82,73.02,75.41,C,26.61
S1256,Emma,Brown,emma256@university.com,Male,23,Engineering,69.02,98.61,46.64,71.13,42.52,84.39,95.9,70.47,C,12.0
S1257,Omar,Brown,omar257@university.com,Male,18,Mathematics,64.61,94.65,85.24,90.25,41.08,97.77,86.33,81.1,B,12.62
S1258,John,Miller,john258@university.com,Male,24,Mathematics,76.63,78.11,66.99,60.92,47.21,44.1,63.17,66.25,D,6.15
S1259,Emma,Brown,emma259@university.com,Male,18,Engineering,73.44,58.08,75.9,64.86,58.0,84.59,52.41,66.61,D,27.57
S1260,Emma,Williams,emma260@university.com,Male,19,CS,83.39,75.59,93.54,59.27,44.74,54.37,89.73,76.07,C,5.87
S1261,Omar,Jones,omar261@university.com,Male,20,CS,63.39,87.35,74.4,82.94,55.14,53.21,74.42,73.64,C,23.44
S1262,Ahmed,Miller,ahmed262@university.com,Female,18,CS,95.48,80.15,89.76,93.95,74.31,71.05,71.52,85.02,B,12.92
S1263,Ahmed,Smith,ahmed263@university.com,Male,21,Mathematics,73.22,48.25,60.45,58.24,50.23,96.89,72.26,61.58,D,24.72
S1264,Noah,Brown,noah264@university.com,Female,20,Mathematics,61.87,70.74,46.25,69.23,69.26,79.13,97.53,66.01,D,20.02
S1265,Noah,Smith,noah265@university.com,Female,24,CS,99.19,56.14,64.42,94.57,40.18,42.39,80.2,70.55,C,27.68
S1266,Liam,Smith,liam266@university.com,Male,20,Mathematics,63.84,98.29,59.88,74.1,51.77,76.65,64.03,70.73,C,10.17
S1267,Olivia,Smith,olivia267@university.com,Male,22,Mathematics,76.85,91.25,42.97,91.67,90.64,57.09,73.14,73.5,C,15.96
S1268,John,Jones,john268@university.com,Female,23,CS,69.84,42.66,56.67,90.83,57.07,89.09,76.58,64.62,D,27.0
S1269,Olivia,Smith,olivia269@university.com,Female,24,CS,93.71,69.61,82.14,99.64,47.89,56.48,69.73,78.05,C,15.55
S1270,Sara,Williams,sara270@university.com,Female,21,Engineering,94.11,80.26,55.49,83.73,57.8,83.11,97.7,76.31,C,23.03
S1271,Sara,Johnson,sara271@university.com,Male,18,Mathematics,81.82,43.07,55.46,52.98,76.23,81.2,55.72,59.95,F,14.6
S1272,Omar,Williams,omar272@university.com,Male,24,CS,83.13,45.54,75.78,77.48,94.02,64.25,66.05,71.36,C,23.75
S1273,Omar,Jones,omar273@university.com,Male,19,Business,83.43,80.72,61.72,79.68,40.61,78.17,95.66,73.58,C,20.31
S1274,Liam,Miller,liam274@university.com,Female,21,Mathematics,58.59,78.27,84.46,76.5,89.74,99.48,91.0,80.08,B,22.37
S1275,Noah,Davis,noah275@university.com,Female,21,CS,64.75,69.16,74.63,52.19,47.38,73.52,67.16,65.16,D,23.23
S1276,Ahmed,Jones,ahmed276@university.com,Male,18,CS,53.37,63.24,91.11,70.19,44.66,72.55,93.09,71.36,C,19.76
S1277,Sara,Johnson,sara277@university.com,Female,21,Engineering,89.92,89.35,91.45,95.83,65.86,59.13,79.11,86.05,B,14.28
S1278,Ava,Williams,ava278@university.com,Male,18,CS,51.37,63.58,71.55,75.58,49.94,78.74,52.24,63.8,D,24.05
S1279,Sara,Smith,sara279@university.com,Female,24,Engineering,57.72,41.53,78.75,81.85,60.44,44.3,70.48,64.23,D,12.78
S1280,Olivia,Garcia,olivia280@university.com,Male,23,Business,92.36,71.87,90.5,79.01,73.58,46.32,58.37,78.21,C,29.3
S1281,Ava,Jones,ava281@university.com,Female,23,Mathematics,51.38,70.33,97.84,69.21,42.34,41.86,69.4,69.88,D,9.0
S1282,Noah,Davis,noah282@university.com,Male,19,Engineering,65.66,48.82,69.27,56.5,90.13,62.22,68.74,64.41,D,16.85
S1283,John,Brown,john283@university.com,Male,23,Mathematics,80.15,89.6,99.04,64.42,97.67,63.37,69.28,84.23,B,13.51
S1284,Ava,Brown,ava284@university.com,Male,21,Engineering,99.01,68.67,71.94,58.42,54.81,90.31,67.81,72.11,C,25.67
S1285,Ahmed,Brown,ahmed285@university.com,Male,22,Business,59.73,43.46,60.55,63.51,97.99,73.46,67.36,62.52,D,19.51
S1286,Noah,Garcia,noah286@university.com,Female,22,Business,72.2,77.57,69.33,70.09,99.63,92.82,81.17,76.91,C,19.23
S1287,Liam,Miller,liam287@university.com,Female,19,Mathematics,73.07,83.85,48.88,92.63,82.65,94.42,56.62,72.49,C,19.83
S1288,John,Brown,john288@university.com,Female,19,Mathematics,86.11,72.0,92.2,56.53,87.43,47.49,89.71,78.93,C,11.89
S1289,Maria,Jones,maria289@university.com,Male,23,Engineering,51.72,98.18,96.95,75.65,45.62,85.28,74.6,79.26,C,12.56
S1290,Olivia,Garcia,olivia290@university.com,Male,21,Engineering,64.29,52.19,85.71,69.33,70.68,69.54,78.86,70.34,C,26.64
S1291,John,Garcia,john291@university.com,Male,23,Engineering,72.8,66.61,76.13,79.57,88.4,68.59,99.81,77.46,C,6.49
S1292,Sara,Brown,sara292@university.com,Male,22,Business,71.96,90.82,93.59,53.12,93.01,66.9,75.52,80.52,B,20.66
S1293,Maria,Smith,maria293@university.com,Male,24,Mathematics,86.7,85.76,95.76,51.53,92.32,71.63,81.63,82.8,B,21.11
S1294,John,Brown,john294@university.com,Female,21,Mathematics,90.22,56.73,52.64,97.87,40.53,99.87,83.84,70.15,C,25.71
S1295,Ahmed,Williams,ahmed295@university.com,Male,24,Engineering,50.12,42.65,60.51,81.65,44.14,40.34,96.85,59.54,F,25.55
S1296,John,Johnson,john296@university.com,Female,18,Mathematics,88.31,90.76,76.82,54.43,69.26,44.66,70.38,74.96,C,15.18
S1297,Olivia,Davis,olivia297@university.com,Male,23,Mathematics,65.31,72.95,77.93,78.85,81.87,40.37,55.05,71.4,C,26.72
S1298,Liam,Garcia,liam298@university.com,Male,19,Mathematics,53.84,70.04,87.67,85.35,43.01,44.37,70.14,70.34,C,12.38
S1299,Noah,Garcia,noah299@university.com,Female,21,Engineering,93.17,64.08,57.55,57.62,55.97,41.32,79.16,65.4,D,26.06
S1300,Ahmed,Brown,ahmed300@university.com,Female,18,CS,82.02,98.74,76.21,67.89,78.87,47.38,94.43,80.99,B,17.58
S1301,Liam,Garcia,liam301@university.com,Male,23,CS,72.7,89.29,73.28,81.85,71.58,67.79,61.73,76.08,C,12.58
S1302,Liam,Garcia,liam302@university.com,Female,24,Mathematics,77.63,71.21,48.57,88.77,56.28,69.8,64.21,66.88,D,8.35
S1303,Maria,Smith,maria303@university.com,Female,19,Engineering,86.09,56.29,64.15,55.14,51.34,86.98,85.75,66.54,D,19.84
S1304,Olivia,Williams,olivia304@university.com,Female,18,Mathematics,53.13,90.36,40.23,62.34,84.45,58.98,55.09,62.35,D,14.01
S1305,Emma,Brown,emma305@university.com,Male,20,Mathematics,78.25,91.99,74.31,95.36,96.58,65.34,68.87,82.83,B,28.41
S1306,Noah,Williams,noah306@university.com,Female,20,Engineering,54.46,81.22,69.63,69.38,77.96,82.23,50.22,69.16,D,9.17
S1307,Ava,Davis,ava307@university.com,Female,22,Engineering,93.78,50.97,56.71,56.48,80.57,96.64,63.45,66.14,D,16.89
S1308,Ava,Jones,ava308@university.com,Male,20,Mathematics,82.21,42.89,61.6,97.84,70.02,65.96,72.88,68.58,D,10.22
S1309,Olivia,Miller,olivia309@university.com,Male,23,Engineering,88.54,40.17,91.54,59.3,73.12,64.95,85.98,72.25,C,14.28
S1310,Noah,Williams,noah310@university.com,Male,23,Mathematics,73.61,92.81,52.94,83.89,76.47,57.72,56.83,71.64,C,21.29
S1311,Noah,Johnson,noah311@university.com,Male,19,CS,86.85,98.48,43.13,84.11,68.09,74.75,54.27,72.1,C,6.08
S1312,Omar,Williams,omar312@university.com,Male,22,Mathematics,52.9,46.69,70.95,63.38,90.13,40.88,68.95,62.47,D,13.43
S1313,Sara,Jones,sara313@university.com,Female,23,Engineering,85.47,96.93,41.89,86.81,59.81,94.36,63.33,72.73,C,23.12
S1314,Ahmed,Davis,ahmed314@university.com,Female,18,Engineering,98.17,71.14,80.65,65.59,86.44,86.38,76.06,79.53,C,29.4
S1315,Ava,Smith,ava315@university.com,Female,20,Business,78.77,44.58,62.95,68.39,50.9,66.13,66.6,61.79,D,13.55
S1316,Olivia,Garcia,olivia316@university.com,Male,24,CS,75.9,60.89,62.3,50.07,57.99,78.79,98.71,66.26,D,26.18
S1317,Maria,Brown,maria317@university.com,Female,18,CS,77.35,89.79,76.37,64.56,52.43,49.14,94.97,75.53,C,22.75
S1318,Maria,Miller,maria318@university.com,Female,22,Mathematics,62.33,69.04,84.85,73.69,43.47,97.47,97.14,74.36,C,24.63
S1319,Emma,Johnson,emma319@university.com,Female,21,Business,77.22,97.77,44.54,68.28,53.52,51.75,57.04,66.16,D,20.56
S1320,Liam,Jones,liam320@university.com,Male,19,Engineering,65.76,56.57,98.9,76.36,94.39,49.83,82.14,77.5,C,25.25
S1321,Liam,Johnson,liam321@university.com,Male,24,Mathematics,95.87,57.43,68.2,94.51,82.46,43.73,57.37,73.26,C,5.2
S1322,Olivia,Smith,olivia322@university.com,Male,21,Mathematics,61.51,42.67,64.94,65.1,85.67,61.26,97.45,65.14,D,29.06
S1323,John,Jones,john323@university.com,Male,23,Mathematics,63.74,88.42,67.58,77.33,65.97,42.63,58.29,70.3,C,16.14
S1324,Ava,Davis,ava324@university.com,Male,21,CS,94.88,80.46,48.22,99.75,71.63,63.51,82.96,75.98,C,7.72
S1325,John,Davis,john325@university.com,Male,21,Business,97.57,99.69,82.7,99.06,74.17,55.57,71.85,87.49,B,19.84
S1326,Liam,Smith,liam326@university.com,Female,24,CS,60.7,40.78,40.85,91.47,83.93,61.3,84.92,61.14,D,14.88
S1327,Sara,Miller,sara327@university.com,Female,19,CS,98.35,63.57,91.25,88.65,58.6,53.92,72.91,79.43,C,24.53
S1328,Ahmed,Garcia,ahmed328@university.com,Male,21,Mathematics,78.25,86.3,69.93,50.61,40.54,61.42,96.31,70.83,C,10.72
S1329,Noah,Garcia,noah329@university.com,Male,20,Engineering,52.3,88.48,50.67,75.73,88.5,55.23,62.29,67.41,D,15.07
S1330,Liam,Smith,liam330@university.com,Male,21,Business,83.12,47.11,57.33,69.89,95.17,99.6,52.25,66.43,D,24.03
S1331,Noah,Brown,noah331@university.com,Male,18,Business,81.77,45.44,41.96,52.89,66.66,56.53,81.1,57.38,F,29.81
S1332,Emma,Williams,emma332@university.com,Female,22,CS,78.2,61.51,79.4,62.02,51.5,95.09,55.09,68.6,D,17.65
S1333,Sara,Johnson,sara333@university.com,Female,20,Mathematics,87.59,53.72,97.38,57.41,80.77,53.49,71.57,74.75,C,22.98
S1334,Emma,Williams,emma334@university.com,Male,20,Engineering,71.38,59.58,90.38,57.19,65.81,94.23,92.29,74.32,C,15.02
S1335,Sara,Davis,sara335@university.com,Female,23,Mathematics,89.02,68.58,69.85,60.23,75.47,51.17,66.58,70.33,C,26.38
S1336,Sara,Davis,sara336@university.com,Female,21,Business,81.8,61.86,57.71,93.97,67.6,45.7,91.34,71.35,C,6.19
S1337,Olivia,Davis,olivia337@university.com,Female,21,Business,84.68,86.27,79.28,57.58,92.55,72.35,64.12,77.7,C,15.63
S1338,Ahmed,Brown,ahmed338@university.com,Female,22,Engineering,69.59,72.8,71.92,79.52,43.68,61.73,86.16,70.98,C,10.01
S1339,Ava,Jones,ava339@university.com,Male,24,Business,65.21,58.24,53.82,50.07,83.76,98.01,61.21,61.79,D,21.58
S1340,Ava,Williams,ava340@university.com,Female,24,CS,70.8,85.54,76.58,94.8,89.08,55.17,63.57,79.12,C,8.13
S1341,Liam,Garcia,liam341@university.com,Male,20,CS,99.98,64.35,53.23,88.12,72.55,48.98,69.03,71.0,C,15.36
S1342,John,Garcia,john342@university.com,Male,19,Engineering,85.47,50.04,86.84,79.19,97.13,42.55,63.27,74.58,C,20.04
S1343,Omar,Miller,omar343@university.com,Male,21,CS,81.61,47.8,73.61,89.04,82.51,50.33,98.62,74.19,C,16.22
S1344,Omar,Smith,omar344@university.com,Male,19,Business,84.86,82.86,67.7,96.05,81.68,83.74,93.08,82.3,B,11.85
S1345,Sara,Jones,sara345@university.com,Female,20,Engineering,52.59,48.53,52.8,83.26,49.44,47.13,88.24,59.41,F,21.78
S1346,Sara,Smith,sara346@university.com,Female,22,Mathematics,97.35,69.78,62.83,58.15,87.17,84.07,69.22,72.83,C,5.63
S1347,Omar,Brown,omar347@university.com,Male,21,Engineering,56.22,87.85,76.95,92.16,45.85,73.54,75.05,74.83,C,22.65
S1348,Omar,Garcia,omar348@university.com,Male,18,Business,98.35,43.1,70.29,85.92,91.76,50.76,90.0,74.55,C,18.82
S1349,Maria,Smith,maria349@university.com,Female,21,Mathematics,61.34,92.76,88.53,83.86,77.5,58.99,90.82,82.24,B,17.54
S1350,Ava,Miller,ava350@university.com,Male,24,Engineering,65.64,96.12,91.04,99.1,77.68,54.85,58.14,83.02,B,9.67
S1351,Emma,Jones,emma351@university.com,Female,21,CS,64.38,58.41,61.18,81.06,60.04,83.96,70.23,66.02,D,6.71
S1352,John,Garcia,john352@university.com,Male,20,CS,67.79,45.04,60.01,83.88,44.33,52.32,69.07,60.72,D,29.55
S1353,Liam,Garcia,liam353@university.com,Female,21,Mathematics,83.57,77.94,51.94,70.92,85.06,46.08,63.89,68.94,D,11.91
S1354,Olivia,Smith,olivia354@university.com,Male,19,Engineering,95.74,40.69,67.01,98.86,46.19,72.87,98.95,72.24,C,18.89
S1355,Liam,Williams,liam355@university.com,Male,19,Business,85.23,65.36,60.79,69.88,55.86,52.32,74.15,67.15,D,11.71
S1356,Emma,Davis,emma356@university.com,Male,21,CS,77.48,81.39,48.64,79.77,50.33,95.53,53.42,67.17,D,15.76
S1357,Ahmed,Jones,ahmed357@university.com,Male,21,Mathematics,79.95,77.42,78.91,63.37,40.91,97.9,62.54,71.95,C,21.9
S1358,Noah,Johnson,noah358@university.com,Male,18,Business,83.6,75.01,71.55,62.48,40.12,50.44,55.85,66.92,D,16.23
S1359,Maria,Johnson,maria359@university.com,Female,22,Business,97.24,84.19,92.98,60.13,75.26,82.07,84.01,83.72,B,15.2
S1360,Noah,Johnson,noah360@university.com,Male,18,Mathematics,69.28,96.18,72.52,96.98,53.23,83.54,80.86,79.89,C,23.49
S1361,John,Johnson,john361@university.com,Male,23,Engineering,98.85,46.11,40.5,71.68,45.56,84.9,95.73,63.3,D,15.85
S1362,Sara,Garcia,sara362@university.com,Female,24,Business,90.86,70.76,66.3,99.81,53.75,72.81,83.53,76.7,C,22.52
S1363,John,Brown,john363@university.com,Male,22,Engineering,54.57,51.96,92.65,86.94,40.82,54.9,60.72,67.68,D,11.77
S1364,Ava,Brown,ava364@university.com,Female,19,Engineering,53.13,67.54,83.96,80.34,80.37,44.87,97.57,74.56,C,25.96
S1365,Sara,Davis,sara365@university.com,Male,23,Business,69.16,69.61,57.0,89.34,63.85,70.82,62.67,68.14,D,29.69
S1366,Sara,Johnson,sara366@university.com,Male,20,CS,88.54,65.65,52.37,89.99,60.02,91.91,95.76,73.18,C,26.5
S1367,Ava,Smith,ava367@university.com,Female,19,Engineering,89.37,67.26,77.81,62.42,82.33,65.66,72.13,74.4,C,21.23
S1368,John,Williams,john368@university.com,Female,22,Engineering,89.2,65.16,70.0,89.25,75.93,52.07,79.51,75.45,C,15.19
S1369,Ava,Garcia,ava369@university.com,Male,20,Engineering,74.55,95.63,46.32,88.22,64.58,79.31,63.01,71.85,C,8.99
S1370,Ava,Williams,ava370@university.com,Male,22,Mathematics,53.52,51.14,79.85,94.08,88.85,81.11,55.52,70.82,C,12.23
S1371,Maria,Davis,maria371@university.com,Female,21,Mathematics,96.23,66.6,73.2,62.74,84.55,44.6,93.63,75.51,C,25.7
S1372,Maria,Miller,maria372@university.com,Male,23,CS,95.69,97.17,59.6,67.72,70.34,96.47,93.82,80.09,B,7.56
S1373,Omar,Miller,omar373@university.com,Female,18,Business,53.88,89.73,60.93,76.08,87.67,93.06,67.24,72.82,C,16.55
S1374,Noah,Jones,noah374@university.com,Male,23,Business,71.96,76.63,49.62,83.68,50.76,81.64,61.48,66.38,D,7.94
S1375,John,Williams,john375@university.com,Female,18,CS,87.03,91.78,71.91,89.47,57.81,72.48,67.26,78.94,C,15.36
S1376,John,Smith,john376@university.com,Female,19,Business,94.08,47.29,78.08,79.11,47.1,52.71,65.55,68.86,D,9.17
S1377,Omar,Smith,omar377@university.com,Male,24,Engineering,69.55,54.05,53.17,97.99,76.98,73.41,70.79,67.68,D,15.72
S1378,Noah,Miller,noah378@university.com,Male,20,Mathematics,83.95,64.71,85.22,60.18,59.65,72.8,78.77,73.35,C,5.55
S1379,Maria,Davis,maria379@university.com,Male,24,Mathematics,55.77,76.34,47.03,66.86,48.57,81.52,60.31,60.38,D,14.8
S1380,Ahmed,Garcia,ahmed380@university.com,Female,18,Business,83.94,86.38,97.09,88.82,76.68,91.44,83.66,88.07,B,15.2
S1381,Ahmed,Smith,ahmed381@university.com,Female,22,Mathematics,81.42,81.32,55.2,50.5,83.41,72.14,91.81,70.98,C,25.53
S1382,Ahmed,Miller,ahmed382@university.com,Male,18,Mathematics,74.25,60.02,87.49,72.56,51.01,91.3,94.13,74.98,C,16.66
S1383,Maria,Johnson,maria383@university.com,Male,22,CS,70.49,78.87,40.93,64.04,52.48,42.52,73.96,60.96,D,9.54
S1384,Sara,Miller,sara384@university.com,Male,21,Business,92.4,72.74,98.9,72.52,70.8,99.35,61.58,82.22,B,28.56
S1385,Noah,Smith,noah385@university.com,Male,19,Mathematics,66.06,53.21,61.03,68.63,44.12,62.17,73.21,60.94,D,23.07
S1386,Maria,Brown,maria386@university.com,Female,19,Mathematics,67.5,95.76,62.75,91.57,90.54,62.39,81.6,79.03,C,7.38
S1387,Emma,Miller,emma387@university.com,Male,24,Mathematics,52.43,74.86,65.56,77.4,71.26,61.01,83.87,69.4,D,23.96
S1388,Ava,Davis,ava388@university.com,Male,20,Business,83.56,77.23,84.54,58.49,51.7,93.42,87.5,76.48,C,27.71
S1389,Sara,Smith,sara389@university.com,Female,24,Mathematics,80.27,65.99,86.46,92.63,72.5,85.5,65.35,78.81,C,15.37
S1390,Sara,Johnson,sara390@university.com,Male,20,Engineering,63.55,52.14,58.83,62.08,52.89,65.49,95.39,62.08,D,17.68
S1391,Ava,Jones,ava391@university.com,Female,24,Engineering,77.9,75.08,48.02,72.19,67.05,97.51,71.55,68.27,D,18.73
S1392,Liam,Miller,liam392@university.com,Male,18,Engineering,63.2,96.34,78.18,66.23,56.17,51.46,84.73,74.89,C,10.47
S1393,Emma,Johnson,emma393@university.com,Female,21,Business,91.19,43.79,86.61,91.08,67.69,99.0,89.34,78.4,C,24.34
S1394,Emma,Williams,emma394@university.com,Male,21,Business,68.42,65.94,41.87,62.98,42.02,92.75,62.17,58.42,F,18.93
S1395,Ava,Garcia,ava395@university.com,Male,23,Mathematics,83.34,59.38,93.88,94.41,59.52,94.06,99.81,82.64,B,25.64
S1396,Sara,Miller,sara396@university.com,Female,19,CS,87.4,88.76,82.41,98.36,89.6,94.19,96.68,89.56,B,25.03
S1397,Liam,Smith,liam397@university.com,Male,22,Engineering,92.9,99.86,54.49,52.02,64.67,47.8,51.12,69.3,D,14.01
S1398,Ahmed,Jones,ahmed398@university.com,Male,20,Engineering,70.3,40.82,44.81,65.61,40.94,41.03,95.83,55.48,F,22.65
S1399,John,Garcia,john399@university.com,Female,21,Engineering,51.95,90.23,77.17,78.17,77.48,91.87,79.35,77.13,C,19.52
S1400,Omar,Miller,omar400@university.com,Male,22,Business,81.92,83.98,80.57,56.92,74.73,74.17,93.42,78.29,C,14.48
S1401,Maria,Miller,maria401@university.com,Male,19,Mathematics,67.1,71.66,52.7,99.78,98.87,78.97,90.22,75.4,C,22.88
S1402,John,Brown,john402@university.com,Female,18,Business,75.2,96.95,89.97,68.12,91.82,46.6,96.25,84.52,B,20.79
S1403,Sara,Davis,sara403@university.com,Male,24,CS,84.54,81.83,78.92,63.76,49.37,78.16,79.97,75.18,C,9.48
S1404,Olivia,Johnson,olivia404@university.com,Female,21,Engineering,52.12,74.78,67.17,97.44,43.64,81.12,51.25,67.73,D,9.29
S1405,John,Williams,john405@university.com,Female,24,Business,91.91,88.17,97.66,76.8,69.31,64.11,57.68,83.26,B,19.32
S1406,Noah,Davis,noah406@university.com,Female,23,Mathematics,82.13,44.71,84.43,54.75,75.64,82.16,53.33,67.59,D,10.77
